#,Frontier,Title,Source / Link,Date (YYYY-MM),Entities (comma-separated),Summary (1–2 sentences),Entity Links,Technical Intelligence,Market Intelligence,Regulatory Intelligence,Sentiment (tone + confidence),Image Ref (optional),Notes / Status,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
1,AI,Anthropic releases Claude 3.5 Sonnet,https://www.anthropic.com/news/claude-3-5-sonnet,2024-06,Anthropic,New flagship that improves code/math and long-context; widely available via API and clouds.,High (first-party blog),200K context; faster/cheaper than Opus; strong reasoning benchmarks.,Opens Pro/Team monetization; broad distribution via Bedrock & Vertex.,Pre-deployment eval by US/UK AISI noted; low safety level 2.,Positive 0.9,(logo/headshot),Ready,,,,,,
59,Energy,Thermal energy storage device (vertical stratified vessel),https://patentscope.wipo.int/search/en/WO2025229531,2025-11,WO2025229531; thermal storage,Vertical vessel with stratification control to boost charge/discharge efficiency.,,Vertical thermal store with stratification control to cut mixing losses; charge/discharge valves and baffles described.,Pairs with industrial waste‑heat or solar‑thermal; revenue via peak‑shifting and process‑heat offtake.,Pressure vessel codes and thermal‑fluid safety standards apply; environmental permits for high‑temp media.,Positive 0.75,,,,,,,,
60,Energy,Energy storage assembly with cabinet architecture,https://patentscope.wipo.int/search/en/WO2025217562,2025-10,WO2025217562; modular ESS cabinets,Modular cabinet-based ESS with standardized terminals for utility deployments.,,Cabinetized ESS with standardized bus and service access; emphasizes field‑swap and containment.,Shortens install time for C&I and utility skids; improves service SLAs—good for integrators and O&M providers.,UL 9540/9540A certification pathway; fire code and spacing rules influence deployability.,Positive 0.76,,,,,,,,
61,Energy,Electric energy system enabling separate charge/discharge (residential PV),https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2025228177,2025-11,WO2025228177; residential PV ESS,Residential PV energy storage station with separate charge/discharge ports for flexibility.,,Residential PV station enabling independent charge/discharge ports; power‑electronics topology detailed.,Value for households in TOU markets; competition heavy—must beat incumbents on cost + installer workflow.,"UL 1741/IEEE 1547 interconnection, AHJ electrical permits, and utility net‑metering compliance.",Neutral 0.71,,,,,,,,
62,Biotech,In vivo gene editing with CRISPR systems,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2025231432,2025-11,WO2025231432; CRISPR in vivo,Therapeutic genome editing in somatic cells; delivery and safety improvements.,,Somatic in‑vivo editing framework; delivery/safety innovations to widen therapeutic window.,Licensing interest from platform biotechs; valuation tied to delivery tropism and off‑target profile.,"PCT stage; eventual IND/CTA will hinge on biodistribution, immunogenicity, and genotoxicity packages.",Positive 0.79,,,,,,,,
63,Biotech,Gene therapy (AAV particle) methods,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2025228976,2025-11,WO2025228976; AAV therapy,AAV-based treatment approaches with dosing and vector design considerations.,,AAV vector/process claims around particle design and dosing windows.,Crowded IP space—value depends on enablement and overlaps; potential for cross‑licensing.,CMC and potency assays critical for regulatory clearance; patent scope clarified at national phase.,Neutral 0.72,,,,,,,,
64,Biotech,CRISPR-Cas systems (engineered effectors),https://patentscope.wipo.int/search/zh/detail.jsf?docId=WO2025201481,2025-10,WO2025201481; engineered CRISPR,Engineered CRISPR systems and components for targeted nucleic acid modification.,,Engineered CRISPR effectors with altered PAM/kinetics to widen targetability.,Expands edit sites—useful for therapeutics and tools; monetization via kits/licenses.,"Dual‑use concerns are standard; regulatory focus on delivery and specificity, not nuclease novelty alone.",Positive 0.74,,,,,,,,
65,Biotech,ENPP1 gene therapy for vascular disease,https://patentscope.wipo.int/search/en/WO2025213139,2025-10,WO2025213139; ENPP1 gene therapy,Gene addition strategy targeting ENPP1 for calcification disorders.,,ENPP1 gene‑addition strategy for calcification disorders; vector payload and promoter choices emphasized.,Rare‑disease angle—partnering likely; manufacturing scalability determines cost of goods.,Orphan‑drug pathway potential; nonclinical mineralization models required in IND.,Neutral 0.73,,,,,,,,
66,Biotech,CRISPR/Cas9 exon-skipping for USH2A retinal disease,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2025227159,2025-10,WO2025227159; USH2A exon skipping,Exon-skipping genome editing approach for Usher syndrome.,,CRISPR/Cas9 exon‑skipping of USH2A; guide design and exon targeting described.,Competing with antisense approaches; durable edit could command premium if safety holds.,Ocular delivery enables local dosing but mandates rigorous off‑target and immunogenicity assessment.,Positive 0.77,,,,,,,,
67,Biotech,Cell‑type‑specific delivery of gene editors,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2025226912,2025-10,WO2025226912; targeted editor delivery,RNP delivery strategies with targeting ligands to improve specificity.,,Ligand‑targeted RNP delivery to specific cell types; chemistry for conjugation detailed.,Platform play—licensable across multiple indications; differentiation on in‑vivo specificity.,Toxicology around conjugates and reticuloendothelial uptake central to filings.,Positive 0.76,,,,,,,,
68,Biotech,Cytotoxic synergy of CRISPR‑Cas9 with DDR inhibitors,https://patentscope.wipo.int/search/en/WO2025226592,2025-10,WO2025226592; CRISPR + DDR inhibitors,Combines CRISPR with DNA repair modulation to enhance tumor cell kill.,,Combines CRISPR with DNA‑damage‑response inhibitors to amplify cytotoxicity in tumors.,"Attractive for oncology combos, but safety margin tight; requires biomarker‑driven stratification.",Combination‑therapy IND design must address overlapping toxicities and sequencing.,Mixed 0.72,,,,,,,,
69,Biotech,TNNT2 modulation gene therapy for cardiomyopathy,https://patentscope.wipo.int/search/en/WO2025226841,2025-10,WO2025226841; TNNT2 cardiomyopathy,Expression cassette reduces mutant TNNT2 while adding non‑mutant copy.,,Expression cassette reduces mutant TNNT2 while restoring wild‑type—cardiomyopathy target.,Cardiac gene therapy is capital‑intensive; partnering with device/drug players likely.,Chronic expression and arrhythmia risk need long‑term studies; cardiac endpoints negotiated with FDA/EMA.,Positive 0.75,,,,,,,,
70,Biotech,Engineered CRISPR‑Cas12 systems,https://patentscope.wipo.int/search/en/WO2025166125,2025-06,WO2025166125; engineered Cas12,Cas12 variants with guides for genome editing and diagnostics.,,Engineered Cas12 variants with guide architectures; applications span editing and diagnostics.,Toolmaker revenue via kits/assays; potential Dx partnerships.,Diagnostics claims face IVDR/IVD pathways; therapeutic use reverts to delivery/safety questions.,Positive 0.74,,,,,,,,
71,Biotech,Gene therapy for MTRES1‑related diseases,https://patentscope.wipo.int/search/en/WO2025226835,2025-10,WO2025226835; MTRES1 therapy,MTRES1 gene therapy constructs and treatment methods.,,MTRES1 gene‑therapy constructs for mitochondrial function disorders.,Ultra‑rare indications—grants/consortia funding probable; manufacturing is key risk.,Mitochondrial targeting claims scrutinized for biodistribution; long‑term follow‑up required.,Neutral 0.71,,,,,,,,
72,Biotech,SERS biosensor using CRISPR/Cas13a,https://patentscope.wipo.int/search/en/WO2025227692,2025-10,WO2025227692; CRISPR/Cas13a SERS,CRISPR-based biosensing platform with SERS chip for nucleic acid detection.,,CRISPR/Cas13a coupled to SERS biosensor for nucleic‑acid detection; on‑chip amplification and readout described.,Point‑of‑care diagnostics angle—could serve oncology/infectious‑disease panels; hardware BOM costs decisive.,IVD/IVDR compliance including analytical validation; potential CLIA‑waived pathway if simplified.,Positive 0.76,,,,,,,,
73,Biotech,Gene therapy for GRIN disorders,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2025210606,2025-10,WO2025210606; GRIN1 gene therapy,Overexpression strategy to treat GRIN-related encephalopathy.,,GRIN1 gene‑replacement approach for encephalopathy; vector payload constraints considered.,Natural‑history cohorts needed; payer negotiations hinge on durability and neurodevelopmental outcomes.,Pediatric ethics oversight and long‑term neurocognitive follow‑up likely required.,Neutral 0.72,,,,,,,,
74,Biotech,Class 2 type V CRISPR prime editing toolkit,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2025045886,2025-04,WO2025045886; type-V prime editing,Prime editing toolkit based on type‑V CRISPR systems.,,Type‑V CRISPR prime‑editing toolkit broadens edit repertoire with potentially lower off‑target nicking.,Licensable toolkit for pharma and CROs; revenue via platform deals and royalties.,Editing outcome characterization (indels/PEB/PEE rates) central to regulatory acceptance; IP stacking expected.,Positive 0.77,,,,,,,,
75,AI,Palantir deploys AIP across U.S. Army Vantage program,https://www.defense.gov/News/Contracts/Contract/Article/3755913,2025-02,"Palantir, U.S. Army, DIU","Palantir's AI Platform (AIP) integrated into Army Vantage for operational decision-making across 250+ data sources, enabling natural language queries for battlefield intelligence.",High (DoD contract award),LLM orchestration layer over classified data fabrics; multi-level security enclaves with real-time fusion,$823M IDIQ contract signals AI-as-infrastructure model; locks in decade-long platform dominance in DoD,FedRAMP High authorization required; ongoing debate over AI decision authority in lethal contexts,Positive 0.85,,Thiel-universe anchor,,,,,,
76,AI,"xAI releases Grok-2 with experimental ""Deep Search"" reasoning",https://x.ai/blog/grok-2,2025-08,"xAI, Elon Musk, X Corp","Grok-2 introduces 128K context and agentic reasoning chains for real-time X data analysis, claiming MMLU-Pro score of 88.3.",High (first-party),MoE architecture; native tool use for web/X API; reasoning traces exposed to users,Bundled with X Premium+; challenges Perplexity/Claude in real-time analysis; reinforces X data moat,FTC scrutiny over data usage from X; EU DSA compliance for search algorithm transparency,Positive 0.8,,Ready,,,,,,
77,AI,Google DeepMind Gemini 2.0 enables autonomous research agents,https://deepmind.google/research/gemini-2,2025-05,"Google DeepMind, Google Cloud","Gemini 2.0 Pro version launches with long-context fine-tuning for multi-agent research workflows, integrating directly with Google Workspace.",High (first-party),2M token context; native multimodal coding; reinforcement learning from tool feedback,Enterprise pricing at $50/user/month; challenges Microsoft Copilot ecosystem; drives GCP consumption,EU AI Act compliance for high-risk use; ongoing Google antitrust implications for bundling,Positive 0.9,,Ready,,,,,,
78,AI,Cohere secures $2.7B valuation for sovereign AI deployments,https://cohere.com/press/sovereign-ai-fundraise,2025-01,"Cohere, NVIDIA, Index Ventures",Series D funding accelerates deployment of non-U.S. sovereign language models for enterprise and government clients in Europe/Asia.,Medium-High,Data residency by design; model distillation for air-gapped environments; multilingual specialization,$135M ARR; competes with OpenAI in regulated industries; appeals to data sovereignty mandates,EU AI Act Article 36 compliance; export controls on model weights to certain jurisdictions,Positive 0.82,,Ready,,,,,,
79,AI,Perplexity AI reaches $1B valuation with enterprise search suite,https://www.perplexity.ai/blog/enterprise-launch,2025-07,"Perplexity AI, Jeff Bezos, IVP","Perplexity launches enterprise tier with SSO, on-prem connectors, and citation auditing for regulated industries.",Medium-High,Hybrid retrieval with proprietary reranking; hallucination detection via cross-referencing,$45M ARR; displacing traditional enterprise search; adds pressure on Google Cloud Search,SOC 2 Type II certification; GDPR compliance for EU enterprise data,Positive 0.8,,Ready,,,,,,
80,AI,EU AI Act enforcement begins with €37M fines for non-compliance,https://digital-strategy.ec.europa.eu/en/news/eu-ai-act-first-enforcement-actions,2025-08,"European Commission, OpenAI, Anthropic",First wave of penalties targets inadequate risk assessments and transparency violations; establishes precedent for AI governance.,High (regulatory),Requires AI system registration and technical documentation audit trails,"Creates compliance software market; advantage for EU-based ""trustworthy AI"" vendors","Sets global standard; triggers reciprocal compliance measures in UK, Canada, India",Negative 0.75,,Ready,,,,,,
